SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,RCS,RE_DOMESTIC,0,0,106,99,106,99,01-Feb-25,11,STP
MONTHLY_MAX_DEMSAT,TIN,OE_EXPORTS,17,0,0,0,17,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,CRCA,RE_DOMESTIC,3662.86,0,0,0,3662.86,0,01-Feb-25,-1,STR
MONTHLY_MAX_DEMSAT,LRPC,OE_DOMESTIC,0,0,54,54,54,54,01-Feb-25,2000,FOC
MONTHLY_MAX_DEMSAT,NOFP,OE_DOMESTIC,0,0,33,33,33,33,01-Feb-25,8,FOC
MONTHLY_MAX_DEMSAT,HRCTL,MS_DOMESTIC,0,0,127,108,127,108,01-Feb-25,12,EMG
MONTHLY_MAX_DEMSAT,PRB_BLM,RE_DOMESTIC,777.45,777.450001,0,0,777.45,777.450001,01-Feb-25,4,STR
MONTHLY_MAX_DEMSAT,PRB_BRM,RE_DOMESTIC,0,0,4,4,4,4,01-Feb-25,11,STP
MONTHLY_MAX_DEMSAT,GA,SA_DOMESTIC,0,0,14,0,14,0,01-Mar-25,33,STR
MONTHLY_MAX_DEMSAT,GL,RE_EXPORTS,300,300,0,0,300,300,01-Mar-25,2500,PRY
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,0,0,30487,30348,30487,30348,01-Mar-25,36,PRY
MONTHLY_MAX_DEMSAT,CRCA,MS_DOMESTIC,0,0,1451,1451,1451,1451,01-Mar-25,36,EMG
MONTHLY_MAX_DEMSAT,HRGI,RE_DOMESTIC,0,0,3771,3771,3771,3771,01-Mar-25,34,STR
MONTHLY_MAX_DEMSAT,PPGI,RE_DOMESTIC,0,0,1586,1311,1586,1311,01-Mar-25,33,EMG
