SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_PROFIT,PPGL,MS_DOMESTIC,0,0,2891,2891,2891,2891,01-May-25,58,STR
MONTHLY_MAX_PROFIT,TIN,MS_DOMESTIC,0,0,668,668,668,668,01-Feb-25,14,PRY
MONTHLY_MAX_PROFIT,TMT,RE_DOMESTIC,0,0,23152,23152,23152,23152,01-Feb-25,18,STR
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,5472.96,5472.960002,0,0,5472.96,5472.960002,01-Feb-25,4,STR
MONTHLY_MAX_PROFIT,HRGI,RE_DOMESTIC,0,0,58,41,58,41,01-Feb-25,15,EMG
MONTHLY_MAX_PROFIT,HRPO,OE_DOMESTIC,0,0,236,116,236,116,01-Feb-25,16,STP
MONTHLY_MAX_PROFIT,LRPC,OE_DOMESTIC,0,0,1626,1601,1626,1601,01-Feb-25,14,STP
MONTHLY_MAX_PROFIT,NOFP,OE_DOMESTIC,16.88,16.879999,0,0,16.88,16.879999,01-Feb-25,2,EMG
MONTHLY_MAX_PROFIT,SLAB,OE_DOMESTIC,0,0,461,390,461,390,01-Feb-25,19,EMG
MONTHLY_MAX_PROFIT,PRB_BLM,OE_DOMESTIC,0,0,987,980,987,980,01-Feb-25,16,STP
MONTHLY_MAX_PROFIT,WR - AL,RE_DOMESTIC,0,0,410,405,410,405,01-Feb-25,16,PRY
MONTHLY_MAX_PROFIT,AS CAST ROUNDS,OE_DOMESTIC,0,0,1473,1473,1473,1473,01-Feb-25,19,STP
MONTHLY_MAX_PROFIT,HR,SA_DOMESTIC,32,32,0,0,32,32,01-Mar-25,24,STR
MONTHLY_MAX_PROFIT,TMT,RE_DOMESTIC,0,0,19259,19259,19259,19259,01-Mar-25,37,STP
MONTHLY_MAX_PROFIT,TMBP,OE_DOMESTIC,0,0,65,20,65,20,01-Mar-25,35,STR
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,0,0,2414,2304,2414,2304,01-Mar-25,36,EMG
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,10926,10926,0,0,10926,10926,01-Mar-25,24,PRY
MONTHLY_MAX_PROFIT,WR - L,MS_DOMESTIC,0,0,2714,2714,2714,2714,01-Mar-25,37,FOC
MONTHLY_MAX_PROFIT,PRB_BRM,SA_DOMESTIC,0,0,41,41,41,41,01-Mar-25,35,EMG
MONTHLY_MAX_PROFIT,PRB_BRM,MS_DOMESTIC,0,0,28,28,28,28,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,LPF,MS_DOMESTIC,0,0,390,390,390,390,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,TMT,DE_DOMESTIC,0,0,332,332,332,332,01-Apr-25,50,FOC
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,0,0,1409,1409,1409,1409,01-Apr-25,48,EMG
MONTHLY_MAX_PROFIT,CRCA,SA_DOMESTIC,0,0,47288,47044,47288,47044,01-Apr-25,48,STP
MONTHLY_MAX_PROFIT,HRPO,SA_DOMESTIC,0,0,1994,1929,1994,1929,01-Apr-25,48,PRY
MONTHLY_MAX_PROFIT,PPGL,MS_DOMESTIC,20,20,0,0,20,20,01-Apr-25,40,STR
MONTHLY_MAX_PROFIT,TMBP,MS_DOMESTIC,0,0,13,13,13,13,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,TMT,DE_DOMESTIC,0,0,149,149,149,149,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,LRPC,OE_DOMESTIC,0,0,1379,1325,1379,1325,01-May-25,58,STR
MONTHLY_MAX_PROFIT,WR - L,MS_DOMESTIC,0,0,4148,4139,4148,4139,01-May-25,58,STR
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,3604.34,0,0,0,3604.34,0,01-Feb-25,-1,FOC
MONTHLY_MAX_PROFIT,ZM,OE_DOMESTIC,0,0,1200,1047,1200,1047,01-Feb-25,14,STP
MONTHLY_MAX_PROFIT,CRCA,OE_EXPORTS,635.99,635.990001,0,0,635.99,635.990001,01-Feb-25,1,EMG
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,0,0,218,206,218,206,01-Feb-25,16,EMG
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,54.75,0,0,0,54.75,0,01-Feb-25,-1,STP
MONTHLY_MAX_PROFIT,PPGL,MS_DOMESTIC,24,24,0,0,24,24,01-Feb-25,2,FOC
MONTHLY_MAX_PROFIT,HTWRC,OE_DOMESTIC,0,0,41,41,41,41,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,HTWRC,SA_DOMESTIC,0,0,5,5,5,5,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,TMT-CF,OE_DOMESTIC,0,0,464,457,464,457,01-Feb-25,18,PRY
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,0,0,461,461,461,461,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,HRGI,OE_DOMESTIC,30,30,0,0,30,30,01-Mar-25,22,FOC
MONTHLY_MAX_PROFIT,HRPO,MS_DOMESTIC,0,0,221,221,221,221,01-Mar-25,35,PRY
MONTHLY_MAX_PROFIT,HRPO,SA_DOMESTIC,790,790,0,0,790,790,01-Mar-25,23,STR
MONTHLY_MAX_PROFIT,PPGI,MS_DOMESTIC,0,0,150,150,150,150,01-Mar-25,33,EMG
MONTHLY_MAX_PROFIT,PPGI,OE_DOMESTIC,106,106,0,0,106,106,01-Mar-25,21,PRY
MONTHLY_MAX_PROFIT,PPGL,MS_DOMESTIC,0,0,3179,3179,3179,3179,01-Mar-25,33,STR
